doc	ingest_id	quick_signals
DOC__20251226_031542_957315__FACTS_DATES.md	20251226_031542_957315	# VFMS v0 Grounded Output **Query:** AUTO **Instructions:** Extrae SOLO fechas (con texto literal alrededor), partes, tipo de documento (AUTO/PROVIDENCIA/ACTA/etc), decisiones/órdenes, medidas, plazos y citas (artículo
DOC__20251226_031543_045460__FACTS_DATES.md	20251226_031543_045460	# VFMS v0 Grounded Output **Query:** AUTO **Instructions:** Extrae SOLO fechas (con texto literal alrededor), partes, tipo de documento (AUTO/PROVIDENCIA/ACTA/etc), decisiones/órdenes, medidas, plazos y citas (artículo
DOC__20251226_031543_124284__FACTS_DATES.md	20251226_031543_124284	# VFMS v0 Grounded Output **Query:** JUZGADO **Instructions:** Extrae SOLO fechas (con texto literal alrededor), partes, tipo de documento (AUTO/PROVIDENCIA/ACTA/etc), decisiones/órdenes, medidas, plazos y citas (artíc
DOC__20251226_031543_209609__FACTS_DATES.md	20251226_031543_209609	# VFMS v0 Grounded Output **Query:** JUZGADO **Instructions:** Extrae SOLO fechas (con texto literal alrededor), partes, tipo de documento (AUTO/PROVIDENCIA/ACTA/etc), decisiones/órdenes, medidas, plazos y citas (artíc
DOC__20251226_031543_289521__FACTS_DATES.md	20251226_031543_289521	# VFMS v0 Grounded Output **Query:** JUZGADO **Instructions:** Extrae SOLO fechas (con texto literal alrededor), partes, tipo de documento (AUTO/PROVIDENCIA/ACTA/etc), decisiones/órdenes, medidas, plazos y citas (artíc
DOC__20251226_031543_354006__FACTS_DATES.md	20251226_031543_354006	# VFMS v0 Grounded Output **Query:** JUZGADO **Instructions:** Extrae SOLO fechas (con texto literal alrededor), partes, tipo de documento (AUTO/PROVIDENCIA/ACTA/etc), decisiones/órdenes, medidas, plazos y citas (artíc
DOC__20251226_031543_429885__FACTS_DATES.md	20251226_031543_429885	# VFMS v0 Grounded Output **Query:** JUZGADO **Instructions:** Extrae SOLO fechas (con texto literal alrededor), partes, tipo de documento (AUTO/PROVIDENCIA/ACTA/etc), decisiones/órdenes, medidas, plazos y citas (artíc
DOC__20251226_031543_503081__FACTS_DATES.md	20251226_031543_503081	# VFMS v0 Grounded Output **Query:** JUZGADO **Instructions:** Extrae SOLO fechas (con texto literal alrededor), partes, tipo de documento (AUTO/PROVIDENCIA/ACTA/etc), decisiones/órdenes, medidas, plazos y citas (artíc
DOC__20251226_031543_565614__FACTS_DATES.md	20251226_031543_565614	# VFMS v0 Grounded Output **Query:** JUZGADO **Instructions:** Extrae SOLO fechas (con texto literal alrededor), partes, tipo de documento (AUTO/PROVIDENCIA/ACTA/etc), decisiones/órdenes, medidas, plazos y citas (artíc
DOC__20251226_031543_654956__FACTS_DATES.md	20251226_031543_654956	# VFMS v0 Grounded Output **Query:** JUZGADO **Instructions:** Extrae SOLO fechas (con texto literal alrededor), partes, tipo de documento (AUTO/PROVIDENCIA/ACTA/etc), decisiones/órdenes, medidas, plazos y citas (artíc
DOC__20251226_031543_739701__FACTS_DATES.md	20251226_031543_739701	# VFMS v0 Grounded Output **Query:** JUZGADO **Instructions:** Extrae SOLO fechas (con texto literal alrededor), partes, tipo de documento (AUTO/PROVIDENCIA/ACTA/etc), decisiones/órdenes, medidas, plazos y citas (artíc
DOC__20251226_031543_816990__FACTS_DATES.md	20251226_031543_816990	# VFMS v0 Grounded Output **Query:** JUZGADO **Instructions:** Extrae SOLO fechas (con texto literal alrededor), partes, tipo de documento (AUTO/PROVIDENCIA/ACTA/etc), decisiones/órdenes, medidas, plazos y citas (artíc
DOC__20251226_031543_888112__FACTS_DATES.md	20251226_031543_888112	# VFMS v0 Grounded Output **Query:** JUZGADO **Instructions:** Extrae SOLO fechas (con texto literal alrededor), partes, tipo de documento (AUTO/PROVIDENCIA/ACTA/etc), decisiones/órdenes, medidas, plazos y citas (artíc
DOC__20251226_031543_955784__FACTS_DATES.md	20251226_031543_955784	# VFMS v0 Grounded Output **Query:** JUZGADO **Instructions:** Extrae SOLO fechas (con texto literal alrededor), partes, tipo de documento (AUTO/PROVIDENCIA/ACTA/etc), decisiones/órdenes, medidas, plazos y citas (artíc
DOC__20251226_031544_049063__FACTS_DATES.md	20251226_031544_049063	# VFMS v0 Grounded Output **Query:** JUZGADO **Instructions:** Extrae SOLO fechas (con texto literal alrededor), partes, tipo de documento (AUTO/PROVIDENCIA/ACTA/etc), decisiones/órdenes, medidas, plazos y citas (artíc
DOC__20251226_031544_220683__FACTS_DATES.md	20251226_031544_220683	# VFMS v0 Grounded Output **Query:** JUZGADO **Instructions:** Extrae SOLO fechas (con texto literal alrededor), partes, tipo de documento (AUTO/PROVIDENCIA/ACTA/etc), decisiones/órdenes, medidas, plazos y citas (artíc
DOC__20251226_031544_314178__FACTS_DATES.md	20251226_031544_314178	# VFMS v0 Grounded Output **Query:** JUZGADO **Instructions:** Extrae SOLO fechas (con texto literal alrededor), partes, tipo de documento (AUTO/PROVIDENCIA/ACTA/etc), decisiones/órdenes, medidas, plazos y citas (artíc
DOC__20251226_031544_400211__FACTS_DATES.md	20251226_031544_400211	# VFMS v0 Grounded Output **Query:** JUZGADO **Instructions:** Extrae SOLO fechas (con texto literal alrededor), partes, tipo de documento (AUTO/PROVIDENCIA/ACTA/etc), decisiones/órdenes, medidas, plazos y citas (artíc
DOC__20251226_031544_469542__FACTS_DATES.md	20251226_031544_469542	# VFMS v0 Grounded Output **Query:** JUZGADO **Instructions:** Extrae SOLO fechas (con texto literal alrededor), partes, tipo de documento (AUTO/PROVIDENCIA/ACTA/etc), decisiones/órdenes, medidas, plazos y citas (artíc
DOC__20251226_031544_584451__FACTS_DATES.md	20251226_031544_584451	# VFMS v0 Grounded Output **Query:** JUZGADO **Instructions:** Extrae SOLO fechas (con texto literal alrededor), partes, tipo de documento (AUTO/PROVIDENCIA/ACTA/etc), decisiones/órdenes, medidas, plazos y citas (artíc
DOC__20251226_031544_652557__FACTS_DATES.md	20251226_031544_652557	# VFMS v0 Grounded Output **Query:** JUZGADO **Instructions:** Extrae SOLO fechas (con texto literal alrededor), partes, tipo de documento (AUTO/PROVIDENCIA/ACTA/etc), decisiones/órdenes, medidas, plazos y citas (artíc
DOC__20251226_031544_721210__FACTS_DATES.md	20251226_031544_721210	# VFMS v0 Grounded Output **Query:** JUZGADO **Instructions:** Extrae SOLO fechas (con texto literal alrededor), partes, tipo de documento (AUTO/PROVIDENCIA/ACTA/etc), decisiones/órdenes, medidas, plazos y citas (artíc
DOC__20251226_031544_805238__FACTS_DATES.md	20251226_031544_805238	# VFMS v0 Grounded Output **Query:** AUTO **Instructions:** Extrae SOLO fechas (con texto literal alrededor), partes, tipo de documento (AUTO/PROVIDENCIA/ACTA/etc), decisiones/órdenes, medidas, plazos y citas (artículo
DOC__20251226_031544_904335__FACTS_DATES.md	20251226_031544_904335	# VFMS v0 Grounded Output **Query:** JUZGADO **Instructions:** Extrae SOLO fechas (con texto literal alrededor), partes, tipo de documento (AUTO/PROVIDENCIA/ACTA/etc), decisiones/órdenes, medidas, plazos y citas (artíc
DOC__20251226_031544_988459__FACTS_DATES.md	20251226_031544_988459	# VFMS v0 Grounded Output **Query:** JUZGADO **Instructions:** Extrae SOLO fechas (con texto literal alrededor), partes, tipo de documento (AUTO/PROVIDENCIA/ACTA/etc), decisiones/órdenes, medidas, plazos y citas (artíc
DOC__20251226_031545_076680__FACTS_DATES.md	20251226_031545_076680	# VFMS v0 Grounded Output **Query:** JUZGADO **Instructions:** Extrae SOLO fechas (con texto literal alrededor), partes, tipo de documento (AUTO/PROVIDENCIA/ACTA/etc), decisiones/órdenes, medidas, plazos y citas (artíc
DOC__20251226_031545_170663__FACTS_DATES.md	20251226_031545_170663	# VFMS v0 Grounded Output **Query:** JUZGADO **Instructions:** Extrae SOLO fechas (con texto literal alrededor), partes, tipo de documento (AUTO/PROVIDENCIA/ACTA/etc), decisiones/órdenes, medidas, plazos y citas (artíc
DOC__20251226_031545_254447__FACTS_DATES.md	20251226_031545_254447	# VFMS v0 Grounded Output **Query:** JUZGADO **Instructions:** Extrae SOLO fechas (con texto literal alrededor), partes, tipo de documento (AUTO/PROVIDENCIA/ACTA/etc), decisiones/órdenes, medidas, plazos y citas (artíc
DOC__20251226_031545_322146__FACTS_DATES.md	20251226_031545_322146	# VFMS v0 Grounded Output **Query:** 2025 **Instructions:** Extrae SOLO fechas (con texto literal alrededor), partes, tipo de documento (AUTO/PROVIDENCIA/ACTA/etc), decisiones/órdenes, medidas, plazos y citas (artículo
DOC__20251226_031545_393870__FACTS_DATES.md	20251226_031545_393870	# VFMS v0 Grounded Output **Query:** JUZGADO **Instructions:** Extrae SOLO fechas (con texto literal alrededor), partes, tipo de documento (AUTO/PROVIDENCIA/ACTA/etc), decisiones/órdenes, medidas, plazos y citas (artíc
